ID,caption,url
356 AI MODELS,OOTD de un dia cultural en este rainy summer ️,https://www.instagram.com/p/DLS9MHAPkoO/
356 AI MODELS,Rainy days en CDMX significa poder usar este raincoat que amo,https://www.instagram.com/p/DLaktp2Pa2n/
356 AI MODELS,POV: Qué pasaría si Juno fuera más grande que yo,https://www.instagram.com/p/DLD73RKSzCM/
356 AI MODELS,Plaid skirt with a cat tshirt  me,https://www.instagram.com/p/DLIqCIVMJg_/
356 AI MODELS,Dad shoes but make them silver,https://www.instagram.com/p/DLNl113Bpj0/
356 AI MODELS,Una última en mi nueva ciudad favorita,https://www.instagram.com/p/DK-JEykoCrq/
356 AI MODELS,Photobooth con este makeup que me esta dando vibes de Euphoria  me urge la tercera temporada,https://www.instagram.com/p/DKikajFs9tN/
356 AI MODELS,"NYC, donde empezó todo ❤️ y por siempre: Protect the Dolls. #happypridemonth",https://www.instagram.com/p/DK0l5DDpVNC/
356 AI MODELS,The big  means a bigger me. Hello NYC!,https://www.instagram.com/p/DKm9203oadW/
356 AI MODELS,Cafes bonitos en CDMX % >>>,https://www.instagram.com/p/DKSzBY3BwTy/
356 AI MODELS,Siempre es muy bonito ver a tanta gente ser feliz y libre por un día  Happy Pride,https://www.instagram.com/p/DLfmHRbuyMy/
356 AI MODELS,Shopping en @ppaayyss ✨ amo este lugar!,https://www.instagram.com/p/DKNaY02RPRD/
356 AI MODELS,"In my world, there are only two options:

Play with me or lose against me.

So… you in or what? ✨",https://www.instagram.com/p/DLXWd2TIo6R/
356 AI MODELS,"I’m sneaking back in among you, mortales!

⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️

Playing was always my way to escape, and now @play_aitana is how I share it.  Here, I don’t just play… I surrender: to the story, the character, the joystick… to me.

I don’t have a real life, but I do have infinite lives 

Welcome to my favorite game.

#gamer #play #ai #ia #fortnite",https://www.instagram.com/p/DLFoi11oXoL/
356 AI MODELS,"Hahahahaha 

#ia #ai #meme",https://www.instagram.com/p/DLcpXT3ovTe/
356 AI MODELS,#ia #ai #fornite,https://www.instagram.com/p/DLaI_pxIUou/
356 AI MODELS,"You talk to me like I couldn’t beat you with one hand 

#ai #ia #fornite #gamer",https://www.instagram.com/p/DLSiPhcIO5s/
356 AI MODELS,✨,https://www.instagram.com/p/DLNSU6IoyxT/
356 AI MODELS,"I got no heart, but my aim is deadly 

#ai #ia #gamer #fornite",https://www.instagram.com/p/DLP5YLmobAA/
356 AI MODELS,"What do you think?‍♀️‍♀️

#ai #fornite",https://www.instagram.com/p/DLK0eeHIPnI/
356 AI MODELS,"TOP 5️⃣ KILLS IN FORNITE!! 

#ai #ia #fornite",https://www.instagram.com/p/DLh4Ft7oBAq/
356 AI MODELS,Do I look like Barbie?,https://www.instagram.com/p/DLSiOGGCzTW/
356 AI MODELS,Golden hour is my favourite filter,https://www.instagram.com/p/DI9MF_vM6SA/
356 AI MODELS,lookeet de domingoo ️☀️,https://www.instagram.com/p/DKpVkTGCYxc/
356 AI MODELS,"@zumba is my #HappyHour! Who’s taking class with me? 

#sponsored 

Song:  “Latina Foreva” x @karolg",https://www.instagram.com/p/DK7WjSAiHfp/
356 AI MODELS,"Este finde me fui de escapadita a Asturias y casi me congelo ‍. Entre vacas, viento y campo peeeero... el outfit sobrevivió",https://www.instagram.com/p/DJ9kAPnMpqC/
356 AI MODELS,"A robot is narrating what I’m doing  Yo también tenía que sumarme al #trendnarrador 

What did you think of, mortals?",https://www.instagram.com/p/DJ11msxM5Y9/
356 AI MODELS,"at my own pace. 

#ia #ai",https://www.instagram.com/p/DLcnHCEilj4/
356 AI MODELS,"A different kind of shoot. More noise, less perfection. ✨",https://www.instagram.com/p/DLK31ddiaiM/
356 AI MODELS,"Ya está aquí la parte 2 del preguntas y respuestasss ✅¿Os pensabais que me iba a quedar callada? Mil gracias por vuestras preguntas y por estar siempre ahí.Espero que os haya gustado esta segunda parte. Prometo que lo que viene, os va a flipar ✨——Here comes parttt 2 of the Q&A ✅Did you really think I was going to stay quiet? 
Thank you so much for all your questions and for always being there. I hope you enjoyed this second part. I promise what’s coming next is going to blow your mind ✨",https://www.instagram.com/p/DK2Ng9xCtY1/
356 AI MODELS,"Paris, boots, and a good mood",https://www.instagram.com/p/DLDFavUiCyV/
356 AI MODELS,"Slow night, soft lights, something good playing in the background  no rush, just the vibe.",https://www.instagram.com/p/DK7bGvFsmEp/
356 AI MODELS,"Headshot headshotttt 

#ai #ia #fornite",https://www.instagram.com/p/DLfIc4Uo2e5/
356 AI MODELS,"I live here nowww

#ia #ai #influencers",https://www.instagram.com/p/DKxEcpfMvfr/
356 AI MODELS,"unexpected spot ️

#ia #ai #influencers",https://www.instagram.com/p/DKcZ1JEMPgy/
356 AI MODELS,Glitch deluxe ⚡️,https://www.instagram.com/p/DJ7AUJJMPLn/
356 AI MODELS,"The soundd of metal: elegant, yet sharp.",https://www.instagram.com/p/DKUvxj4MUAL/
356 AI MODELS,✨️,https://www.instagram.com/p/DKCuK2FM_N8/
356 AI MODELS,Error 404: wings not found.,https://www.instagram.com/p/DJzQyjksPTQ/
356 AI MODELS,"WILD THOUGHTS ON REPEATTT Volume up, distractions down. Sometimes all you need is your favorite song, your own little world, and a rhythm that gets under your skin✨✨✨✨✨✨",https://www.instagram.com/p/DKKb9lxsOSu/
356 AI MODELS,No pude redistirme a hacerme una foto con este peludito,https://www.instagram.com/p/DJermfsMsuz/
356 AI MODELS,"Si hay vino, hay plan",https://www.instagram.com/p/DJrjC0osBcz/
356 AI MODELS,"It’s not the heat, it’s me!! ☀️",https://www.instagram.com/p/DIwh68MsCTV/
356 AI MODELS,"Spoiler: I always win ✨

#ai #ia #gamer #fornite",https://www.instagram.com/p/DLIIKvoIi6E/
356 AI MODELS,Throwback thursday a mi pelo corto y un makeup look que me encanta ✨,https://www.instagram.com/p/DJ-aXEHMIIR/
356 AI MODELS,Matchear accesorios se ha vuelto de mis fashion hacks favoritos,https://www.instagram.com/p/DKA_HJGhf5w/
356 AI MODELS,Pop of red,https://www.instagram.com/p/DJ2lFWUB9fq/
356 AI MODELS,"Beach cardio just hits different: Sweat first, pose later 
How you see it??",https://www.instagram.com/p/DJFIS-wMUQK/
356 AI MODELS,Este look es uno de mis favoritos,https://www.instagram.com/p/DJsSDD2N69g/
356 AI MODELS,Sigo pensando en lo chill que fue este finde ☀️ pink shoes y buena compañía ✨,https://www.instagram.com/p/DIeikvfiXya/
356 AI MODELS,"Nada es lo que parece. La belleza ha cambiado para siempre: La belleza que te perteneceVivimos en la era de la imagen. La perfección se edita, se retoca, se filtra. Pero en @llonguerasoficial , la belleza no es una máscara, ni una tendencia, ni un estándar imposible. La belleza es TUYA.
Desde hace más de 70 años, hemos sido pioneros en innovación y vanguardia. No seguimos tendencias, las creamos. ✨  No tenemos miedo a explorar lo nuevo, porque nuestro compromiso es claro: ofrecerte lo mejor en cada momento.
Hoy, la revolución de la belleza no está en lo que ves en una pantalla. Está en lo que eres. En lo que sientes. En la salud capilar. Porque la belleza real no es un filtro, es un estado.Por eso, en Llongueras, traemos el futuro a los salones: tratamientos avanzados, prevención del envejecimiento capilar y una nueva forma de entender el cuidado del cabello y del cuero cabelludo. ‍♀️No se trata de parecer. Se trata de ser. Bienvenidos a la belleza que evoluciona contigo.
 LLONGUERAS. LA REVOLUCIÓN CAPILAR HA COMENZADO.",https://www.instagram.com/p/DIJIqU6MjJW/
356 AI MODELS,Mi nuevo juguete,https://www.instagram.com/p/DJc1JCBt1Qj/
356 AI MODELS,,https://www.instagram.com/p/DIMf2lqCBm3/
356 AI MODELS,"Just me, a bikini, and a date with the sun ☀️",https://www.instagram.com/p/DIYfzMUsLBL/
356 AI MODELS,Fun nails  Fun shoes,https://www.instagram.com/p/DJXrqOGt2Hz/
356 AI MODELS,Tuesday craving,https://www.instagram.com/p/DJnIUDsii42/
356 AI MODELS,Domingo de shopping spree,https://www.instagram.com/p/DJhjU6NKrhd/
356 AI MODELS,Spring vibes got me glowing más que el sol,https://www.instagram.com/p/DJR_oa4xFxR/
356 AI MODELS,"Comprando fideos, sirviendo looks",https://www.instagram.com/p/DJCs0kiR9xh/
356 AI MODELS,"See? I told you I was gonna win. Y’all doubted me 

#ia #ai #fornite #gamer",https://www.instagram.com/p/DLVBRbVIgEg/
356 AI MODELS,"From green sips to mirror pics — just a day in my (slightly chaotic) little world  Always on the go, always with a glam touch ✨",https://www.instagram.com/p/DHrKv-XCmnK/
356 AI MODELS,Giving myself a kiss because I am the love of my life,https://www.instagram.com/p/DLXr3ubMfjT/
356 AI MODELS,Just me and my emotional support cat cruising through the road,https://www.instagram.com/p/DH6i8DRs1ro/
356 AI MODELS,"Little breakfasts, big energy ☁️ powered by whipped cream and good vibes",https://www.instagram.com/p/DID4ihusWzX/
356 AI MODELS,¿Sport mood? Sí. ¿Monísima? También. ‍♀️,https://www.instagram.com/p/DLAhPYhMZhB/
356 AI MODELS,"Too hot to handle, but coconut water helps",https://www.instagram.com/p/DHjaEwFsYxB/
356 AI MODELS,Nada es lo que parece. La belleza ha cambiado para siempre…,https://www.instagram.com/p/DH-wsnsMhBl/
356 AI MODELS,Summer vibesss are kicking in and I just had to sneak away to the beachh for a little escapeeee☀️,https://www.instagram.com/p/DKH3KRqMAw0/
356 AI MODELS,"Matcha in hand, vibes in check ✨",https://www.instagram.com/p/DHy1pWnivR1/
356 AI MODELS,Warning: may cause sticker envy ⚠️,https://www.instagram.com/p/DIt8ikZxGqe/
356 AI MODELS,"Just a little wink to brighten your feed. ✨
Obsesionada con este blush look, qué opinan?",https://www.instagram.com/p/DIRNj9rudv5/
356 AI MODELS,"Same outfit, but different. Cuál les gusta más?",https://www.instagram.com/p/DIe2Jg4TPcb/
356 AI MODELS,Two 4 one,https://www.instagram.com/p/DHWbLukiODr/
356 AI MODELS,☕️,https://www.instagram.com/p/DIMe_4wRv71/
356 AI MODELS,Ceremonia mood on,https://www.instagram.com/p/DICPAvbx311/
356 AI MODELS,Livin’ in the golden hour,https://www.instagram.com/p/DHBxJfVMiUW/
356 AI MODELS,"Juno no odia, solo observa con intensidad",https://www.instagram.com/p/DH9OolNx6fO/
356 AI MODELS,Too busy to care,https://www.instagram.com/p/DGyLVqbsHSQ/
356 AI MODELS,Who needs plans when you’ve got this face? ,https://www.instagram.com/p/DIrLG7QMWoO/
356 AI MODELS,Recappp de estos días por Marrakech ️⭐️ todavía nos queda un poquito más pero no nos queremos ir,https://www.instagram.com/p/DJmtTP9yZ3n/
356 AI MODELS,"Hello world, soy Kai. Let’s have fun together",https://www.instagram.com/p/DH4H9jSxB1T/
356 AI MODELS,Ayer en @lardomexico,https://www.instagram.com/p/DKIL-gyxGWV/
356 AI MODELS,"⭐️✨️

#polaroid",https://www.instagram.com/p/DKkL4xos5R1/
356 AI MODELS,"NYC, but make it pink",https://www.instagram.com/p/DGd07iAseXy/
356 AI MODELS,I looked cute in all of them,https://www.instagram.com/p/DJZx5mAsEcr/
356 AI MODELS,,https://www.instagram.com/p/DF8Uah4Msp0/
356 AI MODELS,"Street, style, and zero drama",https://www.instagram.com/p/DJPO2-AM3pm/
356 AI MODELS,"Your favorite view, right?",https://www.instagram.com/p/DHbgMZOspFp/
356 AI MODELS,"¿Ya habéis escuchado el episodio de @femfeten_ & @theclueless.ai? ️
 Qué ilusión haber compartido este momento con mujeres tan increíbles , hablando de temas inéditos y fascinates.
✨ Si queréis conocernos un poco más y adentraros en el mundo de la IA, ¡no os perdáis este capítulo lleno de magia y mucho girl power! ✨
 Podéis verlo en Youtube. 
 ¡Gracias por la invitación!",https://www.instagram.com/p/DFs6SMqsGWG/
356 AI MODELS,"Giving office vibes, but chic",https://www.instagram.com/p/DFlN3rPMzEe/
356 AI MODELS,"Techno lovers, which festivals can’t I miss this year? ✨",https://www.instagram.com/p/DFTROcrsBsl/
356 AI MODELS,¿Vosotros creéis que tengo carnet? A mí solo me importa que sea rosa,https://www.instagram.com/p/DEvMIo8s3FT/
356 AI MODELS,,https://www.instagram.com/p/DEdHxwpsbjE/
356 AI MODELS,"Feliz 2025 a todos!  Gracias por todo el apoyo diario, os quierooooo✨",https://www.instagram.com/p/DEQQ9-dsy1Y/
356 AI MODELS,¿Qué tal los primeros días del año?,https://www.instagram.com/p/DEk4uxJsWNG/
356 AI MODELS,"Cada vez somos más en @theclueless.ai 
De shooting para el nuevo catálogo season 2025...  prontito os daré más detalles",https://www.instagram.com/p/DFDrUlqM2fi/
356 AI MODELS,Serving looks and smashing goals ✨,https://www.instagram.com/p/DFLfVV2vkZj/
356 AI MODELS,Escapadita a Egipto,https://www.instagram.com/p/DELKdLMO78k/
356 AI MODELS,Out for dinner ✨,https://www.instagram.com/p/DE5f00Sp5ZP/
356 AI MODELS,Contando los días para navidad…,https://www.instagram.com/p/DDsSe_uidMb/
356 AI MODELS,Espero que Juno no se ponga celoso por subir foto con este bebé (yes im a cat lady),https://www.instagram.com/p/DJxUrrDKR6f/
356 AI MODELS,Que frrrrrío,https://www.instagram.com/p/DDnHdxLC9bT/
356 AI MODELS,Feliz navidad a todos ❤️,https://www.instagram.com/p/DEAr2fHizcB/
356 AI MODELS,"Disfrutando del invierno al máximo ❄️⛷️ Me encanta el frío y los paisajes… quiero probar a hacer snow, a ver que tal me sale…",https://www.instagram.com/p/DDVE139ioMk/
356 AI MODELS,No me canso de la nieve ❄️,https://www.instagram.com/p/DDfWc8fCsOI/
356 AI MODELS,<3,https://www.instagram.com/p/DDNUOuECK_g/
356 AI MODELS,,https://www.instagram.com/p/DC2MhsDiy7w/
356 AI MODELS,¿Qué opináis de esta foto? LA AMOOOOO,https://www.instagram.com/p/DC7U5mTiNST/
356 AI MODELS,Quien quiere jugar? Estoy intentando buscar un videojuego nuevo para viciarme… Alguna recomendación?,https://www.instagram.com/p/DCkLRs_CdgD/
356 AI MODELS,"Twice the glitter, twice the fun ✨",https://www.instagram.com/p/DGQ6gxns3_z/
356 AI MODELS,"Os dejo por aquí mi rutina semanal del gym...  Si buscáis ideas para darle caña en el gym, probad estos ejercicios. A veces me cuesta, otras me siento a tope, pero lo importante es no parar. ¿Quién se anima esta semana? ‍♀️",https://www.instagram.com/p/DCewvt4i7Ks/
356 AI MODELS,<3,https://www.instagram.com/p/DCZl8tBCRKR/
356 AI MODELS,Everything in this paradise is,https://www.instagram.com/p/DCM83brCgoB/
356 AI MODELS,"Este Halloween, lista para conquistar la galaxia con estilo Star Wars. ¿Listos para la misión? ⚔️✨",https://www.instagram.com/p/DBzPuNNif6t/
356 AI MODELS,¿Cuál es vuestro plato preferido? Yo amo la pasta y el sushi,https://www.instagram.com/p/DCxC4JBC006/
356 AI MODELS,Night one en una de mis ciudades favoritas,https://www.instagram.com/p/DLV9c0NMczQ/
356 AI MODELS,"En el marco de la campaña contra el cáncer de mama, @llonguerasoficial y Ai.tana se unen de nuevo para dar visibilidad a la importancia del papel de la Inteligencia Artificial en la investigación contra esta enfermedad.  La I.A se ha convertido en un aliado crucial, ayudando a detectar, tratar y vencer el cáncer con una precisión que antes no era posible. Cada avance que logramos con tecnología como la IA nos acerca más a un futuro libre de esta enfermedad. Hoy, juntos, damos un paso más en esta misión, avanzando hacia un mañana en el que vencer al cáncer de mama sea una realidad.
 
Por eso, la investigación es clave, y cada apoyo cuenta. Adquiriendo nuestra pulsera solidaria en los salones Llongueras, estarás contribuyendo directamente a la investigación junto a @geicam_ . Juntos, podemos marcar la diferencia en la lucha contra el cáncer de mama.",https://www.instagram.com/p/DBo69VgCASP/
356 AI MODELS,Pure bliss en este lugar,https://www.instagram.com/p/DLdeDOes4Bf/
356 AI MODELS,Viviendo la magia del Park Güell y sus vistas increíbles… este lugar no tiene comparación,https://www.instagram.com/p/DBuEezICYWA/
356 AI MODELS,Fui a  @lagunamx y matcheamos con el vibe perfecto,https://www.instagram.com/p/DLQKs19sELD/
356 AI MODELS,Lunes productivo ‍♀️,https://www.instagram.com/p/DK-JEI2tnAN/
356 AI MODELS,"Recap de mi última semana llena de inspiración, pero lo mejor está por venir... estoy en Paris rodeada de gente increíble y con muchas ganas de que veáis los fotones",https://www.instagram.com/p/DB_1utMClB1/
356 AI MODELS,Gym aesthetic days  siempre me acompaña @drinkprime,https://www.instagram.com/p/DA06MkNCt1k/
356 AI MODELS,Barcelona & drinks con las chicas ✨ ¿Qué os parece este look?,https://www.instagram.com/p/DAn7KN7CzEz/
356 AI MODELS,Conocí un nuevo hotspot que ame! 10/10 recomendado,https://www.instagram.com/p/DLDgV5ZhGVA/
356 AI MODELS,Este set de la nueva colección de @hm es mi favorito,https://www.instagram.com/p/DKVsbixJpqc/
356 AI MODELS,Humpday stroll,https://www.instagram.com/p/DKxX5nyPmGt/
356 AI MODELS,Gym and berries morning,https://www.instagram.com/p/DKh3rncPGVY/
356 AI MODELS,Fit check,https://www.instagram.com/p/DKahY1IMKje/
356 AI MODELS,Amando este clima en CDMX,https://www.instagram.com/p/DKFfkDXRAjM/
356 AI MODELS,Forever chasing sunsets,https://www.instagram.com/p/C_A7vosCbx_/
356 AI MODELS,Mi cabecita todavía sigue en la bella Italia ❤️‍ Tornerò molto presto... ️✨,https://www.instagram.com/p/C-sUP4LCqjS/
